datetime,zone1,zone2,zone3,zone4
2020-12-18 13:37:38,0,0,0,3
2020-12-18 13:39:07,0,0,0,2
2020-12-18 13:40:35,0,0,0,2
2020-12-18 13:42:10,0,0,0,7
2020-12-18 13:43:46,0,0,0,8
2020-12-18 13:45:16,0,0,0,4
2020-12-18 13:46:45,0,2,0,3
2020-12-18 13:48:15,0,0,0,2
2020-12-18 13:49:47,0,3,0,3
2020-12-18 13:51:22,0,2,0,4
2020-12-18 13:52:50,0,2,0,4
2020-12-18 13:54:22,0,2,0,3
2020-12-18 13:55:52,0,2,0,4
2020-12-18 13:57:22,0,0,0,3
2020-12-18 13:58:52,0,0,0,5
2020-12-18 14:00:23,0,0,0,2
2020-12-18 14:01:54,0,0,0,2
2020-12-18 14:03:24,2,0,0,4
2020-12-18 14:04:56,2,0,0,4
2020-12-18 14:06:26,2,0,0,3
2020-12-18 14:07:55,0,0,0,4
2020-12-18 14:09:25,0,2,0,4
2020-12-18 14:10:54,0,0,0,6
2020-12-18 14:12:26,0,0,0,3
2020-12-18 14:13:55,2,0,0,6
2020-12-18 14:15:24,2,0,0,2
2020-12-18 14:16:54,0,0,0,3
2020-12-18 14:18:23,0,0,0,3
2020-12-18 14:19:56,0,0,0,4
2020-12-18 14:21:26,0,0,0,4
2020-12-18 14:22:58,0,0,2,4
2020-12-18 14:24:27,0,0,0,7
2020-12-18 14:25:55,0,0,0,6
2020-12-18 14:28:54,0,2,0,3
2020-12-18 14:30:23,0,2,0,4
2020-12-18 14:31:51,0,2,0,4
2020-12-18 14:33:22,0,0,2,2
2020-12-18 14:36:24,0,0,2,3
2020-12-18 14:37:58,0,0,0,7
2020-12-18 14:39:28,0,0,0,7
2020-12-18 14:40:57,0,0,0,2
2020-12-18 14:42:27,0,0,0,2
2020-12-18 14:43:57,0,0,2,4
2020-12-18 14:45:24,0,0,0,5
2020-12-18 14:46:54,0,0,0,5
2020-12-18 14:48:21,0,0,0,3
2020-12-18 14:50:00,0,0,0,3
2020-12-18 14:51:30,0,0,0,2
2020-12-18 14:53:01,0,0,0,4
2020-12-18 14:54:30,0,0,0,4
2020-12-18 14:55:59,0,0,0,4
2020-12-18 14:58:58,0,0,0,3
2020-12-18 15:00:30,0,0,0,3
2020-12-18 15:04:53,0,0,0,5
2020-12-18 15:06:27,0,0,0,7
2020-12-18 15:07:57,0,0,0,5
2020-12-18 15:09:26,0,0,0,6
2020-12-18 15:10:56,0,0,0,2
2020-12-18 15:12:26,2,0,0,6
2020-12-18 15:13:55,0,0,0,3
2020-12-18 15:15:24,0,0,0,3
2020-12-18 15:16:52,0,0,3,2
2020-12-18 15:18:20,0,0,0,3
2020-12-18 15:19:51,0,0,0,3
2020-12-18 15:22:43,0,0,0,3
2020-12-18 15:24:11,0,0,0,2
2020-12-18 15:25:40,0,0,0,2
2020-12-18 15:27:13,0,0,0,3
2020-12-18 15:28:42,0,0,0,2
2020-12-18 15:30:11,0,0,0,7
2020-12-18 15:31:40,0,0,0,3
2020-12-18 15:33:09,0,0,0,3
2020-12-18 15:34:43,0,0,2,2
2020-12-18 15:36:12,0,2,0,3
2020-12-18 15:37:41,2,0,0,2
2020-12-18 15:39:09,0,0,0,2
2020-12-18 15:40:38,0,0,0,2
2020-12-18 15:42:13,0,0,0,2
2020-12-18 15:43:43,0,0,0,5
2020-12-18 15:45:13,0,0,0,8
2020-12-18 15:46:43,0,2,0,7
2020-12-18 15:48:14,0,2,0,7
2020-12-18 15:49:46,0,2,0,3
2020-12-18 15:51:16,0,2,0,10
2020-12-18 15:52:45,0,2,2,10
2020-12-18 15:54:15,0,3,0,12
2020-12-18 15:55:43,0,2,0,14
2020-12-18 15:57:16,0,2,0,7
2020-12-18 15:58:44,0,2,0,5
2020-12-18 16:00:13,0,2,0,5
2020-12-18 16:01:43,0,2,0,7
2020-12-18 16:03:11,0,2,0,5
2020-12-18 16:04:43,0,2,0,2
2020-12-18 16:06:13,0,2,0,7
2020-12-18 16:07:41,0,2,2,6
2020-12-18 16:09:28,0,2,0,7
2020-12-18 16:10:59,0,2,2,4
2020-12-18 16:12:32,2,2,0,6
2020-12-18 16:14:00,0,2,0,5
2020-12-18 16:15:29,0,2,0,4
2020-12-18 16:16:58,0,2,0,5
2020-12-18 16:18:26,0,2,0,5
2020-12-18 16:19:58,0,0,2,3
2020-12-18 16:21:26,0,0,0,3
2020-12-18 16:22:55,0,0,0,2
2020-12-18 16:24:24,0,0,0,3
2020-12-18 16:25:53,0,0,0,2
2020-12-18 16:27:25,0,0,0,5
2020-12-18 16:28:54,0,0,0,6
2020-12-18 16:30:24,0,2,0,7
2020-12-18 16:31:53,0,0,0,7
2020-12-18 16:33:25,0,0,0,4
2020-12-18 16:35:03,0,0,0,2
2020-12-18 16:36:33,0,0,0,3
2020-12-18 16:38:08,0,0,0,2
2020-12-18 16:39:41,0,0,0,2
2020-12-18 16:41:12,0,0,2,4
2020-12-18 16:44:24,0,0,0,6
2020-12-18 16:46:02,2,0,0,2
2020-12-18 16:47:38,0,0,0,7
2020-12-18 16:49:10,0,0,0,5
2020-12-18 16:50:49,0,0,0,4
2020-12-18 16:52:43,0,0,4,7
2020-12-18 16:54:36,0,0,2,5
2020-12-18 16:56:10,0,0,0,3
2020-12-18 16:57:47,0,2,0,5
2020-12-18 16:59:30,0,0,0,3
2020-12-18 17:02:32,0,0,0,3
